Sample;Intensity;Prevalence;Year;Depth;Length;Area
1;0;0;1999;220;26;2
2;0;0;1999;220;26;2
3;0;0;1999;220;27;2
4;0;0;1999;220;26;2
5;0;0;1999;220;17;2
6;0;0;1999;220;20;2
7;0;0;1999;220;19;2
8;0;0;1999;194;77;3
9;0;0;1999;194;67;3
10;0;0;1999;194;60;3
11;0;0;1999;194;62;3
12;0;0;1999;194;49;3
13;0;0;1999;194;52;3
14;0;0;1999;194;45;3
15;0;0;1999;194;61;3
16;0;0;1999;194;54;3
17;0;0;1999;194;71;3
18;0;0;1999;194;65;3
19;0;0;1999;194;59;3
20;0;0;1999;194;62;3
21;0;0;1999;194;61;3
22;0;0;1999;194;57;3
23;0;0;1999;194;39;3
24;0;0;1999;194;67;3
25;0;0;1999;194;65;3
26;0;0;1999;194;66;3
27;0;0;1999;194;64;3
28;0;0;1999;194;65;3
29;0;0;1999;194;62;3
30;0;0;1999;194;60;3
31;0;0;1999;194;62;3
32;0;0;1999;235;35;4
33;0;0;1999;235;34;4
34;0;0;1999;235;35;4
35;0;0;1999;235;32;4
36;0;0;1999;278;22;4
37;0;0;1999;51;47;1
38;0;0;1999;51;53;1
39;0;0;1999;51;55;1
40;0;0;1999;51;52;1
41;0;0;1999;51;51;1
42;0;0;1999;51;55;1
43;0;0;1999;51;51;1
44;0;0;1999;51;54;1
45;0;0;1999;51;53;1
46;0;0;1999;51;50;1
47;0;0;1999;51;45;1
48;0;0;1999;51;55;1
49;0;0;1999;51;53;1
50;0;0;1999;51;48;1
51;0;0;1999;51;46;1
52;0;0;1999;51;68;1
53;0;0;1999;85;37;1
54;0;0;1999;85;38;1
55;0;0;1999;85;38;1
56;0;0;1999;85;39;1
57;0;0;1999;85;68;1
58;0;0;1999;85;57;1
59;0;0;1999;85;60;1
60;0;0;1999;85;32;1
61;0;0;1999;85;49;1
62;0;0;1999;85;54;1
63;0;0;1999;85;80;1
64;0;0;1999;85;60;1
65;0;0;1999;85;49;1
66;0;0;1999;85;36;1
67;0;0;1999;85;30;1
68;0;0;1999;85;41;1
69;0;0;1999;85;39;1
70;0;0;1999;85;33;1
71;0;0;1999;85;33;1
72;0;0;1999;85;29;1
73;0;0;1999;85;45;1
74;0;0;1999;85;43;1
75;0;0;1999;85;36;1
76;0;0;1999;85;35;1
77;0;0;1999;85;30;1
78;0;0;1999;85;34;1
79;0;0;1999;137;38;1
80;0;0;1999;137;55;1
81;0;0;1999;137;57;1
82;0;0;1999;137;56;1
83;0;0;1999;137;35;1
84;0;0;1999;150;59;2
85;0;0;1999;150;71;2
86;0;0;1999;150;58;2
87;0;0;1999;150;66;2
88;0;0;1999;150;59;2
89;0;0;1999;150;58;2
90;0;0;1999;150;64;2
91;0;0;1999;150;69;2
92;0;0;1999;150;63;2
93;0;0;1999;150;38;2
94;0;0;1999;150;54;2
95;0;0;1999;150;47;2
96;0;0;1999;150;38;2
97;0;0;1999;150;35;2
98;0;0;1999;150;31;2
99;0;0;1999;150;67;2
100;0;0;1999;150;52;2
101;0;0;1999;150;52;2
102;0;0;1999;100;64;2
103;0;0;1999;100;60;2
104;0;0;1999;100;48;2
105;0;0;1999;100;73;2
106;0;0;1999;100;55;2
107;0;0;1999;100;45;2
108;0;0;1999;100;74;2
109;0;0;1999;100;67;2
110;0;0;1999;100;47;2
111;0;0;1999;292;49;2
112;0;0;1999;220;61;2
113;0;0;1999;220;58;2
114;0;0;1999;220;60;2
115;0;0;1999;220;45;2
116;0;0;1999;220;58;2
117;0;0;1999;220;33;2
118;0;0;1999;220;77;2
119;0;0;1999;220;30;2
120;0;0;1999;220;32;2
121;0;0;1999;220;28;2
122;0;0;1999;220;28;2
123;0;0;1999;220;48;2
124;0;0;1999;220;52;2
125;0;0;1999;220;67;2
126;0;0;1999;220;41;2
127;0;0;1999;220;44;2
128;0;0;1999;220;37;2
129;0;0;1999;220;32;2
130;0;0;1999;220;29;2
131;0;0;1999;220;32;2
132;0;0;1999;220;29;2
133;0;0;1999;99;59;3
134;0;0;1999;99;53;3
135;0;0;1999;99;73;3
136;0;0;1999;99;50;3
137;0;0;1999;99;57;3
138;0;0;1999;99;51;3
139;0;0;1999;99;59;3
140;0;0;1999;99;77;3
141;0;0;1999;99;51;3
142;0;0;1999;99;48;3
143;0;0;1999;99;46;3
144;0;0;1999;99;62;3
145;0;0;1999;99;50;3
146;0;0;1999;99;50;3
147;0;0;1999;99;61;3
148;0;0;1999;99;51;3
149;0;0;1999;99;53;3
150;0;0;1999;99;47;3
151;0;0;1999;99;41;3
152;0;0;1999;99;49;3
153;0;0;1999;99;52;3
154;0;0;1999;99;58;3
155;0;0;1999;99;44;3
156;0;0;1999;99;50;3
157;0;0;1999;99;52;3
158;0;0;1999;99;43;3
159;0;0;1999;99;55;3
160;0;0;1999;99;65;3
161;0;0;1999;99;59;3
162;0;0;1999;270;47;3
163;0;0;1999;270;40;3
164;0;0;1999;270;78;3
165;0;0;1999;270;48;3
166;0;0;1999;270;55;3
167;0;0;1999;270;59;3
168;0;0;1999;270;53;3
169;0;0;1999;270;51;3
170;0;0;1999;270;53;3
171;0;0;1999;270;49;3
172;0;0;1999;270;63;3
173;0;0;1999;270;64;3
174;0;0;1999;270;51;3
175;0;0;1999;270;39;3
176;0;0;1999;270;55;3
177;0;0;1999;256;59;3
178;0;0;1999;256;45;3
179;0;0;1999;256;61;3
180;0;0;1999;256;64;3
181;0;0;1999;256;38;3
182;0;0;1999;256;65;3
183;0;0;1999;256;64;3
